epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4609.9,1.68163,0.78386,1.1554,0.95525,0.79546,0.87124,0.51304,1.58149,0.72011,1.15867,0.00191882,0.00191882,0.00191882
43,4729.18,1.69204,0.79548,1.14227,0.94992,0.7915,0.86762,0.48112,1.66893,0.76022,1.17954,0.00191684,0.00191684,0.00191684
44,4975.33,1.69219,0.78794,1.14507,0.95899,0.79949,0.87217,0.5104,1.58924,0.71153,1.15912,0.00191486,0.00191486,0.00191486
45,5062.99,1.68684,0.78018,1.1574,0.95811,0.79931,0.87253,0.50425,1.59937,0.72732,1.1639,0.00191288,0.00191288,0.00191288
46,5156.47,1.64716,0.75902,1.12832,0.96036,0.79868,0.87313,0.51103,1.58528,0.70458,1.15475,0.0019109,0.0019109,0.0019109
47,5263.61,1.68085,0.76975,1.15183,0.95104,0.79589,0.86848,0.48009,1.67197,0.75996,1.17877,0.00190892,0.00190892,0.00190892
48,5346.08,1.66921,0.76223,1.13883,0.95629,0.80098,0.8724,0.51111,1.57691,0.73202,1.1498,0.00190694,0.00190694,0.00190694
49,5784.91,1.65624,0.76868,1.15443,0.95908,0.80296,0.87411,0.51839,1.54309,0.69837,1.13825,0.00190496,0.00190496,0.00190496
50,5851.24,1.63733,0.75006,1.13051,0.96017,0.80276,0.87458,0.52778,1.51433,0.69493,1.13039,0.00190298,0.00190298,0.00190298
51,5928.54,1.61659,0.74057,1.12137,0.95836,0.80352,0.87377,0.51461,1.55708,0.70501,1.13949,0.001901,0.001901,0.001901
52,6515.48,1.64729,0.74788,1.11938,0.96116,0.8073,0.87503,0.52056,1.54456,0.68639,1.13751,0.00189902,0.00189902,0.00189902
53,6582.11,1.62284,0.74186,1.12098,0.962,0.8067,0.87554,0.5167,1.55698,0.6921,1.13847,0.00189704,0.00189704,0.00189704
54,6699.53,1.60573,0.73705,1.11781,0.96478,0.80639,0.8765,0.53427,1.50447,0.66937,1.12245,0.00189506,0.00189506,0.00189506
55,6815.3,1.61287,0.74126,1.12141,0.96744,0.8066,0.877,0.53358,1.49686,0.66626,1.11767,0.00189308,0.00189308,0.00189308
56,6895.08,1.59875,0.7285,1.11147,0.96725,0.80568,0.8763,0.53278,1.5046,0.66494,1.12025,0.0018911,0.0018911,0.0018911
57,6986.33,1.58098,0.71766,1.11259,0.96533,0.80843,0.87688,0.5273,1.51008,0.66493,1.12381,0.00188912,0.00188912,0.00188912
58,7051.66,1.58857,0.7181,1.11006,0.96724,0.80974,0.87751,0.52851,1.50015,0.66008,1.11711,0.00188714,0.00188714,0.00188714
59,7122.11,1.58012,0.71354,1.10887,0.96576,0.80884,0.8762,0.53896,1.46955,0.65886,1.10819,0.00188516,0.00188516,0.00188516
60,7232.88,1.57108,0.71276,1.10633,0.96614,0.81158,0.87753,0.54304,1.45338,0.6613,1.1006,0.00188318,0.00188318,0.00188318
61,7349.86,1.57036,0.71177,1.09124,0.96807,0.81056,0.87801,0.54315,1.46866,0.64436,1.10438,0.0018812,0.0018812,0.0018812
62,7476.36,1.56742,0.70767,1.08968,0.96488,0.80405,0.87577,0.53855,1.48226,0.66516,1.10663,0.00187922,0.00187922,0.00187922
63,7595.54,1.55026,0.69672,1.08365,0.96609,0.8093,0.8775,0.53985,1.45651,0.65706,1.09892,0.00187724,0.00187724,0.00187724
64,7713.69,1.53411,0.69314,1.10323,0.96591,0.81367,0.87841,0.5507,1.42431,0.64048,1.08879,0.00187526,0.00187526,0.00187526
65,8627.15,1.54916,0.69776,1.0878,0.96587,0.81353,0.87926,0.54733,1.43909,0.64451,1.09362,0.00187328,0.00187328,0.00187328
66,8691.86,1.54735,0.69831,1.09064,0.97071,0.80897,0.87906,0.54894,1.42671,0.64337,1.08873,0.0018713,0.0018713,0.0018713
67,8783.61,1.52094,0.68494,1.08394,0.96971,0.8158,0.88112,0.55713,1.40632,0.62539,1.08014,0.00186932,0.00186932,0.00186932
68,8872.33,1.53165,0.68802,1.08498,0.97083,0.81308,0.88046,0.54988,1.42557,0.63026,1.08842,0.00186734,0.00186734,0.00186734
69,8972.81,1.57188,0.70564,1.08435,0.9712,0.81216,0.88058,0.55011,1.44493,0.63141,1.09173,0.00186536,0.00186536,0.00186536
70,9088.08,1.53013,0.69347,1.08159,0.97295,0.81461,0.88113,0.5603,1.3927,0.61469,1.07654,0.00186338,0.00186338,0.00186338
71,9155.95,1.51259,0.68452,1.08522,0.96634,0.80565,0.87804,0.54294,1.45794,0.64751,1.10528,0.0018614,0.0018614,0.0018614
72,9255.89,1.52003,0.68717,1.08555,0.97173,0.81568,0.88165,0.5652,1.36984,0.61921,1.06702,0.00185942,0.00185942,0.00185942
73,9328.76,1.54609,0.68654,1.09311,0.96965,0.81269,0.88032,0.55046,1.41188,0.63084,1.0834,0.00185744,0.00185744,0.00185744
74,9425.14,1.54048,0.69254,1.08701,0.97191,0.81157,0.88092,0.56123,1.38299,0.62146,1.07552,0.00185546,0.00185546,0.00185546
75,9537.22,1.51463,0.67873,1.07375,0.97378,0.81509,0.88261,0.56974,1.35814,0.60821,1.06259,0.00185348,0.00185348,0.00185348
76,9631.47,1.51174,0.68265,1.06549,0.97542,0.81438,0.88283,0.56811,1.35695,0.60693,1.06053,0.0018515,0.0018515,0.0018515
77,9697.85,1.46522,0.66669,1.06778,0.97453,0.8172,0.88271,0.57348,1.33663,0.60424,1.05244,0.00184952,0.00184952,0.00184952
78,9756.99,1.48923,0.66603,1.06762,0.97439,0.81765,0.88289,0.57232,1.34153,0.59416,1.05326,0.00184754,0.00184754,0.00184754
79,9858.88,1.47649,0.67059,1.07103,0.97243,0.8168,0.88266,0.56474,1.36617,0.60817,1.06366,0.00184556,0.00184556,0.00184556
80,10081.4,1.4901,0.66631,1.06728,0.97153,0.81792,0.88138,0.56498,1.36292,0.59847,1.0572,0.00184358,0.00184358,0.00184358
81,10161.7,1.49045,0.66516,1.06306,0.97519,0.81517,0.8825,0.56208,1.3921,0.60193,1.07835,0.0018416,0.0018416,0.0018416
82,10256.4,1.48881,0.66371,1.07032,0.9767,0.81587,0.88418,0.57877,1.327,0.5924,1.05013,0.00183962,0.00183962,0.00183962
83,10353.8,1.46594,0.65785,1.05268,0.9757,0.81733,0.88397,0.57988,1.31752,0.59715,1.04368,0.00183764,0.00183764,0.00183764
84,10418.1,1.44187,0.6513,1.05707,0.97682,0.81864,0.88401,0.58642,1.28852,0.58133,1.03523,0.00183566,0.00183566,0.00183566
85,10492,1.45397,0.65786,1.05566,0.97913,0.81691,0.88494,0.58323,1.30385,0.58148,1.04182,0.00183368,0.00183368,0.00183368
86,10587.7,1.4788,0.65667,1.04937,0.97444,0.81633,0.8825,0.57663,1.32303,0.58139,1.05043,0.0018317,0.0018317,0.0018317
87,10659.7,1.44014,0.6524,1.04523,0.97764,0.81839,0.88423,0.58915,1.27364,0.58004,1.0288,0.00182972,0.00182972,0.00182972
88,10754.6,1.44479,0.65578,1.04694,0.97687,0.81945,0.88421,0.59385,1.26205,0.58293,1.02381,0.00182774,0.00182774,0.00182774
89,10834.9,1.41629,0.63995,1.04733,0.97508,0.81823,0.88345,0.58142,1.284,0.58845,1.03073,0.00182576,0.00182576,0.00182576
90,10919.2,1.43024,0.64182,1.0496,0.97706,0.82041,0.88472,0.59486,1.2531,0.56268,1.01875,0.00182378,0.00182378,0.00182378
91,11051.1,1.44081,0.64183,1.03766,0.97856,0.8192,0.88571,0.59927,1.24174,0.56543,1.01962,0.0018218,0.0018218,0.0018218
92,11147.6,1.42676,0.64409,1.05007,0.97885,0.82045,0.88458,0.59818,1.24365,0.56502,1.01871,0.00181982,0.00181982,0.00181982
93,11291.5,1.39675,0.63066,1.03564,0.97942,0.82004,0.88731,0.60564,1.21409,0.55576,1.01005,0.00181784,0.00181784,0.00181784
94,11399,1.38007,0.62682,1.03005,0.98026,0.82106,0.88606,0.60186,1.21741,0.56094,1.0066,0.00181586,0.00181586,0.00181586
95,11498.5,1.37964,0.62278,1.01839,0.9797,0.82077,0.88541,0.60342,1.21439,0.55281,1.00762,0.00181388,0.00181388,0.00181388
96,11625.6,1.39347,0.6336,1.02606,0.97881,0.82261,0.88531,0.60548,1.215,0.55235,1.00468,0.0018119,0.0018119,0.0018119
97,11690.8,1.36746,0.61812,1.02522,0.98072,0.81989,0.88628,0.60389,1.21819,0.55425,1.00979,0.00180992,0.00180992,0.00180992
98,11764.4,1.39031,0.62303,1.02277,0.98049,0.82011,0.88698,0.60427,1.21385,0.55682,1.00551,0.00180794,0.00180794,0.00180794
99,11842.7,1.41862,0.63217,1.0439,0.97701,0.82044,0.88587,0.583,1.31292,0.56334,1.0385,0.00180596,0.00180596,0.00180596
100,11928.2,1.39056,0.62692,1.03169,0.97872,0.82149,0.88502,0.6069,1.19599,0.55296,1.00316,0.00180398,0.00180398,0.00180398
101,12039.9,1.37577,0.62483,1.02732,0.97727,0.82221,0.88459,0.59577,1.24143,0.57549,1.01135,0.001802,0.001802,0.001802
102,12105.8,1.38445,0.62145,1.03041,0.97978,0.82303,0.88623,0.60754,1.19503,0.55007,1.00009,0.00180002,0.00180002,0.00180002
103,12167.6,1.3562,0.61518,1.01505,0.9831,0.82191,0.88875,0.62054,1.1696,0.53824,0.98999,0.00179804,0.00179804,0.00179804
104,12269.8,1.34156,0.60991,1.01724,0.98216,0.82272,0.8884,0.61788,1.16815,0.53728,0.98993,0.00179606,0.00179606,0.00179606
105,12396.8,1.35001,0.60844,1.0181,0.98293,0.82288,0.88686,0.62107,1.15109,0.53625,0.98475,0.00179408,0.00179408,0.00179408
106,12483.1,1.30935,0.59674,1.00748,0.98102,0.82312,0.88739,0.62089,1.14897,0.53616,0.98095,0.0017921,0.0017921,0.0017921
107,12559.5,1.33958,0.61018,1.00663,0.98218,0.82498,0.88725,0.62804,1.12526,0.52903,0.97454,0.00179012,0.00179012,0.00179012
108,12746.4,1.3573,0.61154,1.01185,0.98197,0.82458,0.88642,0.61403,1.18052,0.53987,0.98999,0.00178814,0.00178814,0.00178814
109,12855.9,1.34598,0.60893,1.0091,0.9806,0.82234,0.8884,0.61811,1.16316,0.5419,0.98534,0.00178616,0.00178616,0.00178616
110,13027.8,1.35609,0.6111,1.01604,0.98112,0.82503,0.88572,0.61628,1.15776,0.53712,0.98333,0.00178418,0.00178418,0.00178418
111,13118.8,1.32583,0.5995,1.00489,0.98241,0.82528,0.88777,0.63323,1.10702,0.52642,0.96834,0.0017822,0.0017822,0.0017822
112,13395.8,1.30195,0.59507,1.00378,0.98237,0.82597,0.8884,0.62721,1.12876,0.52429,0.9775,0.00178022,0.00178022,0.00178022
113,13497.1,1.34681,0.60761,1.01515,0.98259,0.82417,0.88812,0.6302,1.11164,0.52118,0.9721,0.00177824,0.00177824,0.00177824
114,13571,1.30367,0.59836,1.00631,0.98244,0.82468,0.88766,0.63639,1.09527,0.52147,0.9641,0.00177626,0.00177626,0.00177626
115,13689.2,1.31326,0.60045,0.9975,0.98397,0.82378,0.88878,0.63209,1.11168,0.52352,0.9702,0.00177428,0.00177428,0.00177428
116,13791,1.29153,0.5913,0.9971,0.98383,0.826,0.8889,0.63631,1.09614,0.51723,0.96617,0.0017723,0.0017723,0.0017723
117,13868.1,1.30881,0.59755,1.00557,0.98327,0.82485,0.88943,0.64037,1.0869,0.51639,0.9623,0.00177032,0.00177032,0.00177032
118,13949.2,1.30125,0.59478,1.00009,0.98384,0.82529,0.88865,0.63765,1.0969,0.51166,0.96536,0.00176834,0.00176834,0.00176834
119,14031.2,1.30189,0.59723,0.99633,0.98413,0.8274,0.88874,0.64466,1.0722,0.50886,0.95578,0.00176636,0.00176636,0.00176636
120,14109.5,1.28424,0.5883,0.99923,0.98504,0.82518,0.89031,0.63009,1.13848,0.51874,0.97541,0.00176438,0.00176438,0.00176438
121,14518.5,1.29662,0.58577,1.00414,0.9831,0.82693,0.88769,0.63337,1.09828,0.51574,0.96368,0.0017624,0.0017624,0.0017624
122,15308.1,1.27218,0.58349,0.9925,0.98536,0.82617,0.88963,0.64495,1.0698,0.50623,0.95656,0.00176042,0.00176042,0.00176042
123,15388.8,1.27152,0.58226,0.99622,0.98536,0.82646,0.88963,0.65053,1.0493,0.49735,0.95041,0.00175844,0.00175844,0.00175844
124,15588.9,1.26707,0.57988,0.98264,0.98502,0.82639,0.88971,0.6451,1.07512,0.5034,0.9561,0.00175646,0.00175646,0.00175646
125,15728.3,1.26073,0.57915,0.98215,0.98565,0.82639,0.88947,0.65707,1.02869,0.4924,0.94356,0.00175448,0.00175448,0.00175448
126,15818,1.24649,0.5741,0.98069,0.98544,0.82775,0.89102,0.662,1.02101,0.48852,0.94,0.0017525,0.0017525,0.0017525
127,16003.4,1.24429,0.57397,0.98129,0.98605,0.82736,0.88954,0.65137,1.04349,0.49653,0.94581,0.00175052,0.00175052,0.00175052
128,16089.5,1.26999,0.5818,0.98921,0.98603,0.82756,0.89024,0.653,1.03932,0.49747,0.94631,0.00174854,0.00174854,0.00174854
129,16159.8,1.25045,0.57235,0.9814,0.98463,0.82733,0.88889,0.65514,1.02352,0.49432,0.94185,0.00174656,0.00174656,0.00174656
130,16268.8,1.2622,0.57884,0.9811,0.98583,0.82706,0.88979,0.64736,1.06139,0.49769,0.9501,0.00174458,0.00174458,0.00174458
131,16329.9,1.28183,0.58115,1.00165,0.98245,0.82693,0.88665,0.63469,1.09897,0.51178,0.95809,0.0017426,0.0017426,0.0017426
132,16423.7,1.27135,0.58206,0.9822,0.98721,0.82672,0.89342,0.66141,1.02342,0.48847,0.94088,0.00174062,0.00174062,0.00174062
133,16513.5,1.22424,0.57005,0.98038,0.98543,0.82856,0.89034,0.66316,1.00845,0.48741,0.93535,0.00173864,0.00173864,0.00173864
134,16642.9,1.22981,0.56936,0.97513,0.98629,0.82746,0.89133,0.66083,1.01696,0.48615,0.93823,0.00173666,0.00173666,0.00173666
